"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
Abatement/0utput,4.54321E-05,0.000241432,0.002069463,0.005246856,0.009832085,0.015634741,0.02243156,0.031420966,0.035166288,0.037901665,0.040636881,0.038009065,0.03562854,0.03346627,0.031497008,0.029698914,0.028053059,0.004672222,0.004601498,0.004306268,0.003779129,0.003047462,0.002185036,0.001321487,0.000291678,,,,,,
"Sigmabase (CO2/output, no controls, industrial CO2)",0.291354769,0.270302489,0.251524817,0.234726654,0.219656829,0.206100821,0.193874786,0.182820662,0.172802119,0.163701214,0.155415605,0.147856233,0.140945382,0.13461505,0.128805578,0.123464495,0.118545535,0.114007807,0.109815086,0.105935208,0.102339552,0.099002593,0.095901523,0.09301592,0.090327459,,,,,,
"Sigmatot,(CO2/output, no controls, all CO2)",0.407896676,0.375213642,0.34616103,0.320255178,0.297085861,0.276303913,0.257611122,0.240751959,0.225506766,0.211686133,0.199126244,0.187685006,0.177238818,0.167679872,0.158913882,0.15085818,0.143440097,0.137949446,0.132876254,0.128181602,0.123830858,0.119793138,0.116040843,0.112549263,0.109296225,,,,,,
"Cost, backstop technology ($/tCO2)",695.1772859,661.2730896,629.0224205,598.344635,569.1630228,541.4046146,515,512.4314268,509.8756644,507.3326489,504.8023168,502.2846047,499.7794498,497.2867894,494.8065612,492.3387031,489.8831536,487.4398512,485.0087348,482.5897436,480.1828173,477.7878955,475.4049184,473.0338265,470.6745604,,,,,,
"Total CO2 Emissions, GTCO2/year",42.9412001,35.81084799,28.14117855,24.02363145,20.65684622,17.28774036,13.42103102,8.568090123,5.908549407,3.240884773,0,0,0,0,0,0,0,50.561422,52.97116853,56.52059484,61.66019425,68.76810519,77.87770321,87.55971139,96.78928966,,,,,,
"Total CO2e Emissions, GTCO2-E/year",52.4032001,45.08647299,36.23707855,31.06283145,26.55624622,21.96424036,16.79153102,10.54949012,7.181549407,3.894697273,0,0,0,0,0,0,0,58.08320896,60.4146998,64.0480348,69.46758963,77.08740008,86.97498247,97.71608376,109.2646787,,,,,,
"Industrial CO2 Emissions, GTCO2/year",37.3362001,31.03184799,24.50913855,21.27092745,18.64393142,15.89418396,12.54309049,8.116577849,5.654573753,3.126595729,0,0,0,0,0,0,0,50.08393231,52.54589877,56.13353752,61.298887,68.42160815,77.53669326,87.21707251,96.41050303,,,,,,
"Base abateable non-CO2 emission, GTCO2-E/year",9.96,10.30625,10.6525,10.99875,11.345,11.69125,12.0375,12.38375,12.73,13.07625,13.4225,13.76875,14.115,14.46125,14.8075,15.15375,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,,,,,,
"Land emissions, GtCO2/year",5.9,5.31,4.779,4.3011,3.87099,3.483891,3.1355019,2.82195171,2.539756539,2.285780885,2.057202797,1.851482517,1.666334265,1.499700839,1.349730755,1.214757679,1.093281911,0.98395372,0.885558348,0.797002513,0.717302262,0.645572036,0.581014832,0.522913349,0.470622014,,,,,,
"Cumulative CO2 emissions, GtC ",633.5,692.0668305,740.9086853,779.2899981,812.0554529,840.2290021,863.8074805,882.1122145,893.7980985,901.8566765,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,975.2368003,1047.483348,1124.570902,1208.668276,1302.460017,1408.676198,1528.097517,,,,,,
