
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Savings rate, fraction gross output",0.2571182625,0.2542981891,0.2517668856,0.2501913055,0.2490341838,0.2482099804,0.2476417689,0.2473513553,0.2472774593,0.2473917659,0.2476677630,0.2480787480,0.2485950244,0.2491787818,0.2497738915,0.2502848871,0.2505330559,0.2502862947,0.2488281433,0.2447731119,0.2351351923,0.2130955115,0.1611342462,0.0206396260,0.0000000000
"Gross investment, 2019$",34.4944557959,39.5866740337,45.0330790431,51.0836281804,57.6876690027,64.8846979682,72.7144786168,81.2533061534,90.5501587219,100.6695821865,111.6811880413,123.6588012126,136.6785244784,150.8141604744,166.1265398323,182.6388983946,200.2803412534,218.9080672102,237.7359166984,254.9308006670,266.0875838280,260.4815909708,210.1954383327,27.8851178461,0.0000000000
"Y gross-net, 2019$",134.1640326022,155.7078840089,179.1669750822,204.5851317188,232.1929527260,262.1387691283,294.5862499749,329.7070254970,367.7083321859,408.8061505819,453.2360322990,501.2527309340,553.1292454953,609.1545627950,669.6286164463,734.8512995997,805.0986507415,880.6739043792,961.6278511731,1047.5836828851,1137.2402342440,1227.0914595789,1307.9637383319,1353.1482650805,1248.0142825373
"Consumption per capita, 2019$ ",12.8549938391,14.2655008242,15.7802601833,17.4236139097,19.2081061791,21.1459430854,23.2501094763,25.5335282715,28.0098349671,30.6937605495,33.6012862641,36.7498268187,40.1584973425,43.8485501803,47.8441714201,52.1740737922,56.8748910997,62.0012810287,67.6315596326,73.9090546245,81.1300566272,89.9702165971,102.1688798785,123.3485983510,116.1525618344
"Consumption",99.6634817350,116.0836206504,133.8350788586,153.0946428240,173.9579152860,196.5258136918,220.9132035754,247.2401685088,275.6383284062,306.2541561187,339.2502802603,374.8071182147,413.1254180022,454.4306335273,498.9811654613,547.0851391808,599.1364882494,655.7225929995,717.6862214917,786.5675842133,865.5489920065,961.8885522493,1094.2785840247,1323.1625152751,1247.6143422339
"Climate damages, fraction of output",0.0053925133,0.0070389797,0.0083120047,0.0094846412,0.0106707529,0.0118987091,0.0131688343,0.0144898312,0.0158637070,0.0172868760,0.0187546532,0.0202628677,0.0218088450,0.0233924164,0.0250172131,0.0266924240,0.0284351986,0.0301605615,0.0319938757,0.0340224082,0.0363383934,0.0390516706,0.0422821365,0.0461081976,0.0505773621
"Damages, 2019$",0.7274038633,1.1037942129,1.5017190414,1.9589969593,2.5043974405,3.1566733030,3.9311258667,4.8476406294,5.9272453372,7.1912962692,8.6627515072,10.3668804995,12.3320579068,14.5909139131,17.1820898137,20.1528920146,23.5631632593,27.3876462578,31.7830653977,36.8966319232,42.8838118248,49.8673757985,57.7450869110,65.4070278132,66.4838478748
"Abatement, 2019$",0.0060950712,0.0375893248,0.2988171804,0.4068607144,0.5473684372,0.7282574683,0.9585677826,1.2135508349,1.5198450578,1.8824122768,2.3045639974,2.7868115067,3.3253030147,3.9097687933,4.5209111527,5.1272620243,5.6818212387,6.0432441696,6.2057129830,6.0852980048,5.6036584096,4.7213163588,3.4897159746,2.1006319593,0.3999403034
"Abatement/0utput",0.0000454321,0.0002414676,0.0016706002,0.0019926739,0.0023629565,0.0027858768,0.0032645688,0.0036942921,0.0041504447,0.0046259584,0.0051106746,0.0055907764,0.0060481615,0.0064598140,0.0067972617,0.0070263028,0.0071074576,0.0069094813,0.0064952577,0.0058428300,0.0049518180,0.0038624277,0.0026751901,0.0015548171,0.0003205640
"Sigmabase (CO2/output, no controls, industrial CO2)",0.2913547686,0.2703024888,0.2515248171,0.2347266536,0.2196568291,0.2061008205,0.1938747858,0.1828206618,0.1728021194,0.1637012144,0.1554156053,0.1478562334,0.1409453823,0.1346150500,0.1288055782,0.1234644948,0.1185455346,0.1140078066,0.1098150860,0.1059352083,0.1023395519,0.0990025930,0.0959015234,0.0930159197,0.0903274588
"Sigmatot,(CO2/output, no controls, all CO2)",0.4078966761,0.3752136423,0.3461610295,0.3202551780,0.2970858614,0.2763039125,0.2576111216,0.2407519590,0.2255067658,0.2116861329,0.1991262443,0.1876850063,0.1772388183,0.1676798717,0.1589138821,0.1508581796,0.1434400968,0.1379494460,0.1328762540,0.1281816020,0.1238308577,0.1197931375,0.1160408433,0.1125492629,0.1092962252
"Cost, backstop technology ($/tCO2)",695.1772859016,661.2730895942,629.0224204525,598.3446350051,569.1630228090,541.4046146337,515.0000000000,512.4314267842,509.8756643808,507.3326488956,504.8023167530,502.2846046946,499.7794497775,497.2867893726,494.8065611634,492.3387031440,489.8831536179,487.4398511960,485.0087347959,482.5897436394,480.1828172516,477.7878954592,475.4049183891,473.0338264668,470.6745604147
"Total CO2 Emissions, GTCO2/year",42.9412001005,42.9269282098,39.1213777859,39.6763913066,40.0145329743,40.1141954561,39.9520835447,40.1839843223,40.3021881134,40.3173399576,40.2466070170,40.1162390155,39.9651915467,39.8501568291,39.8525253111,40.0879288674,40.7187858705,42.5056741676,45.2499239461,49.3121997573,55.1226247250,63.0895159301,73.2717115981,84.2354739463,95.2757753935
"Total CO2e Emissions, GTCO2-E/year",52.4032001005,52.2025532098,47.4194004893,47.9441051986,48.2053163222,48.1776926636,47.8347144271,47.9611955468,47.9476476997,47.8075595534,47.5622165858,47.2435596502,46.8982125601,46.5930519747,46.4228944955,46.5210139037,47.0729331577,48.8097366992,51.6273793758,55.9194628168,62.1552692515,70.7853085387,81.9047185370,94.0915819252,107.6642104167
"Industrial CO2 Emissions, GTCO2/year",37.3362001005,38.1479282098,35.3986600671,36.4432726139,37.2197828260,37.7113432932,37.8988329438,38.4117493762,38.7768459314,39.0080195655,39.1253782993,39.1578288804,39.1467196745,39.1508863299,39.2536241219,39.5722387280,40.2706004323,42.1054866979,44.8855620818,48.9724574821,54.7971710587,62.7689876396,72.9481048188,83.9029648862,94.8996289263
"Base abateable non-CO2 emission, GTCO2-E/year",9.9600000000,10.3062500000,10.6525000000,10.9987500000,11.3450000000,11.6912500000,12.0375000000,12.3837500000,12.7300000000,13.0762500000,13.4225000000,13.7687500000,14.1150000000,14.4612500000,14.8075000000,15.1537500000,15.5000000000,15.5000000000,15.5000000000,15.5000000000,15.5000000000,15.5000000000,15.5000000000,15.5000000000,15.5000000000
"Land emissions, GtCO2/year",5.9000000000,5.3100000000,4.7790000000,4.3011000000,3.8709900000,3.4838910000,3.1355019000,2.8219517100,2.5397565390,2.2857808851,2.0572027966,1.8514825169,1.6663342652,1.4997008387,1.3497307548,1.2147576794,1.0932819114,0.9839537203,0.8855583483,0.7970025134,0.7173022621,0.6455720359,0.5810148323,0.5229133491,0.4706220142
"Cumulative CO2 emissions, GtC ",633.5000000000,692.0668304699,750.6141957314,803.9712303549,858.0852392290,912.6604342294,967.3715573283,1021.8615785296,1076.6678855703,1131.6354089111,1186.6235976149,1241.5153147685,1296.2292250460,1350.7371240458,1405.0881289954,1459.4423642806,1514.1176627903,1569.6533772890,1627.6262007583,1689.3418635325,1756.5980006810,1831.7788854668,1917.8256884265,2017.7598286312,2132.6472726387
"Atmospheric fraction CO2 since 1765 ",0.4712119916,0.4735614741,0.4700573756,0.4715735183,0.4731042011,0.4744888231,0.4756455113,0.4772684694,0.4788952516,0.4804961720,0.4820662540,0.4836176748,0.4851804960,0.4868067092,0.4885769216,0.4906099073,0.4930751280,0.4965961279,0.5012082413,0.5072636592,0.5151777280,0.5253388390,0.5378524214,0.5517823602,0.5664257437
"Atmospheric fraction CO2 since 2020 ",0.0000000000,0.4989750432,0.4638117291,0.4729169853,0.4784416399,0.4819249339,0.4840578181,0.4871478551,0.4898783137,0.4923032497,0.4944977800,0.4965433287,0.4985329217,0.5005807434,0.5028341113,0.5054881545,0.5088030569,0.5137737035,0.5203231377,0.5288944803,0.5399772459,0.5539543418,0.5707231392,0.5886550068,0.6066605545
"Permanent C box",150.0930000000,162.8103447893,174.4002004675,186.1545409672,198.0091074901,209.8932410620,221.7293806861,233.6342674759,245.5742140030,257.5186867730,269.4422386277,281.3271998320,293.1674427194,304.9736369015,316.7805671362,328.6572787547,340.7209400833,353.3140689332,366.7203213467,381.3302154946,397.6617113584,416.3537498960,438.0627061482,463.0201542005,491.2487758981
"Slow C box",102.6980000000,113.1356689621,122.4865869004,132.0503591837,141.7608648613,151.5487326617,161.3376808779,171.2477986100,181.2461974275,191.3029712932,201.3930819739,211.4991214187,221.6151885587,231.7522926942,241.9458703731,252.2662037851,262.8326579932,273.9904765795,286.0283721541,299.3456202735,314.4726928595,332.0648324858,352.7967413580,376.9116173784,404.4407512387
"Medium C box",39.5340000000,44.7616189976,48.6851677492,52.9366661363,57.4059574610,62.0093731807,66.6669712916,71.5296481244,76.5583698871,81.7220754328,86.9975918313,92.3715370908,97.8439507113,103.4339451580,109.1879859788,115.1916912144,121.5862221016,128.7635758621,137.0489399165,146.9000364140,158.9294615226,173.8976397059,192.5903863176,215.2880620974,242.0451609556
"Fast C box",6.1865000000,7.0285604072,7.2597885422,7.9899801764,8.7878065220,9.5958331285,10.3919109443,11.2906020575,12.2323614340,13.2027534233,14.1982850105,15.2208962983,16.2785612258,17.3880244150,18.5792140647,19.9017141752,21.4339451394,23.4156728476,25.9820372363,29.3658682291,33.8963063450,39.9883762006,48.0573619653,58.1444524749,70.2516350603
"Temp Box 1",0.1477000000,0.1650755302,0.1833586746,0.2024743221,0.2223926095,0.2430711679,0.2644575358,0.2865175436,0.3092184018,0.3325237758,0.3563954776,0.3807950701,0.4056857239,0.4310345310,0.4568154842,0.4830133883,0.5096290186,0.5365676175,0.5638978030,0.5917275826,0.6202130113,0.6495632086,0.6800318969,0.7118663163,0.7452879396
"Temp Box 2",1.0994540000,1.2598033004,1.3650156822,1.4515181672,1.5319750453,1.6094919059,1.6844747323,1.7578300614,1.8298536799,1.9004382490,1.9694325417,2.0367441788,2.1023828811,2.1664957681,2.2294104850,2.2916933364,2.3542272128,2.4128942830,2.4738835076,2.5408771842,2.6172583863,2.7065985751,2.8121876664,2.9349354143,3.0741650263
"Alpha",0.4471535905,0.5118595500,0.5750124929,0.6316978215,0.6912799705,0.7545966044,0.8218254703,0.8921672185,0.9669136274,1.0462517833,1.1303365967,1.2193275430,1.3134037408,1.4127787188,1.5177231682,1.6286017521,1.7459316504,1.8650400783,1.9913668933,2.1276261306,2.2769218829,2.4437186045,2.6354885785,2.8678557739,3.1534344512
"IFR",43.9591365234,45.2569024382,46.4068457855,47.3608327119,48.2972498373,49.2285770320,50.1549695535,51.0637337579,51.9693133339,52.8701763510,53.7643293038,54.6498856140,55.5252632946,56.3893089684,57.2414264991,58.0817375590,58.9112952559,59.6977308935,60.4774432306,61.2629011930,62.0651871143,62.8984252857,63.7851458414,64.7724445151,65.8765796433
"cacc",334.9871986000,364.3306373137,397.7824520721,424.8396838913,452.1215028947,479.6132541965,507.2456135290,534.1592622610,561.0567428196,587.8889219882,614.5924001704,641.0965601292,667.3240818300,693.1892248760,718.5944914427,743.4254763502,767.5438974733,790.1695830672,811.8465301030,832.4001231220,851.6378285940,869.4742871798,886.3184926381,904.3955424807,924.6609494856
"ccatot",633.5000000000,692.0668304699,750.6141957314,803.9712303549,858.0852392290,912.6604342294,967.3715573283,1021.8615785296,1076.6678855703,1131.6354089111,1186.6235976149,1241.5153147685,1296.2292250460,1350.7371240458,1405.0881289954,1459.4423642806,1514.1176627903,1569.6533772890,1627.6262007583,1689.3418635325,1756.5980006810,1831.7788854668,1917.8256884265,2017.7598286312,2132.6472726387
"Share of output net zero emissions",0.1090617324,0.0954302633,0.0837473264,0.0737011414,0.0650347257,0.0575354666,0.0510268183,0.0474495653,0.0442232354,0.0413058794,0.0386613036,0.0362581881,0.0340693535,0.0320711481,0.0302429352,0.0285666617,0.0270264950,0.0258623298,0.0247869784,0.0237919717,0.0228697885,0.0220137350,0.0212178414,0.0204767725,0.0197857511
"Growth p.c. cons (log)",0.0000000000,0.0208223462,0.0201831422,0.0198133208,0.0195011959,0.0192231368,0.0189723540,0.0187365164,0.0185126549,0.0183007394,0.0181009907,0.0179138331,0.0177401089,0.0175815194,0.0174415292,0.0173272800,0.0172536523,0.0172602168,0.0173839372,0.0177521226,0.0186436317,0.0206850369,0.0254296881,0.0376774701,-0.0120219929
"Change interest rate",0.0000000000,0.0455555785,-0.0010586466,-0.0008028859,-0.0007482273,-0.0007160177,-0.0006902584,-0.0006762137,-0.0006649897,-0.0006537944,-0.0006423895,-0.0006305815,-0.0006179734,-0.0006037493,-0.0005862339,-0.0005619339,-0.0005234974,-0.0004474691,-0.0003363252,-0.0001042378,0.0003927653,0.0014850120,0.0040529411,0.0111807607,-0.0476692769
