"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
"Sigmabase (CO2/output, no controls, industrial CO2)",0.291354769,0.270302489,0.251524817,0.234726654,0.219656829,0.206100821,0.193874786,0.182820662,0.172802119,0.163701214,0.155415605,0.147856233,0.140945382,0.13461505,0.128805578,0.123464495,0.118545535,0.114007807,0.109815086,0.105935208,0.102339552,0.099002593,0.095901523,0.09301592,0.090327459,,,,,,
"Sigmatot,(CO2/output, no controls, all CO2)",0.407896676,0.375213642,0.34616103,0.320255178,0.297085861,0.276303913,0.257611122,0.240751959,0.225506766,0.211686133,0.199126244,0.187685006,0.177238818,0.167679872,0.158913882,0.15085818,0.143440097,0.137949446,0.132876254,0.128181602,0.123830858,0.119793138,0.116040843,0.112549263,0.109296225,,,,,,
"Cost, backstop technology ($/tCO2)",695.1772859,661.2730896,629.0224205,598.344635,569.1630228,541.4046146,515,512.4314268,509.8756644,507.3326489,504.8023168,502.2846047,499.7794498,497.2867894,494.8065612,492.3387031,489.8831536,487.4398512,485.0087348,482.5897436,480.1828173,477.7878955,475.4049184,473.0338265,470.6745604,,,,,,
"Total CO2 Emissions, GTCO2/year",42.9412001,42.92692821,39.12137779,39.67639131,40.01453297,40.11419546,39.95208354,40.18398432,40.30218811,40.31733996,40.24660702,40.11623902,39.96519155,39.85015683,39.85252531,40.08792887,40.71878587,42.50567417,45.24992395,49.31219976,55.12262473,63.08951593,73.2717116,84.23547395,95.27577539,,,,,,
"Total CO2e Emissions, GTCO2-E/year",52.4032001,52.20255321,47.41940049,47.9441052,48.20531632,48.17769266,47.83471443,47.96119555,47.9476477,47.80755955,47.56221659,47.24355965,46.89821256,46.59305197,46.4228945,46.5210139,47.07293316,48.8097367,51.62737938,55.91946282,62.15526925,70.78530854,81.90471854,94.09158193,107.6642104,,,,,,
"Industrial CO2 Emissions, GTCO2/year",37.3362001,38.14792821,35.39866007,36.44327261,37.21978283,37.71134329,37.89883294,38.41174938,38.77684593,39.00801957,39.1253783,39.15782888,39.14671967,39.15088633,39.25362412,39.57223873,40.27060043,42.1054867,44.88556208,48.97245748,54.79717106,62.76898764,72.94810482,83.90296489,94.89962893,,,,,,
"Base abateable non-CO2 emission, GTCO2-E/year",9.96,10.30625,10.6525,10.99875,11.345,11.69125,12.0375,12.38375,12.73,13.07625,13.4225,13.76875,14.115,14.46125,14.8075,15.15375,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,,,,,,
"Land emissions, GtCO2/year",5.9,5.31,4.779,4.3011,3.87099,3.483891,3.1355019,2.82195171,2.539756539,2.285780885,2.057202797,1.851482517,1.666334265,1.499700839,1.349730755,1.214757679,1.093281911,0.98395372,0.885558348,0.797002513,0.717302262,0.645572036,0.581014832,0.522913349,0.470622014,,,,,,
"Cumulative CO2 emissions, GtC ",633.5,692.0668305,750.6141957,803.9712304,858.0852392,912.6604342,967.3715573,1021.861579,1076.667886,1131.635409,1186.623598,1241.515315,1296.229225,1350.737124,1405.088129,1459.442364,1514.117663,1569.653377,1627.626201,1689.341864,1756.598001,1831.778885,1917.825688,2017.759829,2132.647273,,,,,,
Atmospheric fraction CO2 since 1765 ,0.471211992,0.473561474,0.470057376,0.471573518,0.473104201,0.474488823,0.475645511,0.477268469,0.478895252,0.480496172,0.482066254,0.483617675,0.485180496,0.486806709,0.488576922,0.490609907,0.493075128,0.496596128,0.501208241,0.507263659,0.515177728,0.525338839,0.537852421,0.55178236,0.566425744,,,,,,
Atmospheric fraction CO2 since 2020 ,0,0.498975043,0.463811729,0.472916985,0.47844164,0.481924934,0.484057818,0.487147855,0.489878314,0.49230325,0.49449778,0.496543329,0.498532922,0.500580743,0.502834111,0.505488155,0.508803057,0.513773704,0.520323138,0.52889448,0.539977246,0.553954342,0.570723139,0.588655007,0.606660555,,,,,,
Permanent C box,150.093,162.8103448,174.4002005,186.154541,198.0091075,209.8932411,221.7293807,233.6342675,245.574214,257.5186868,269.4422386,281.3271998,293.1674427,304.9736369,316.7805671,328.6572788,340.7209401,353.3140689,366.7203213,381.3302155,397.6617114,416.3537499,438.0627061,463.0201542,491.2487759,,,,,,
Slow C box,102.698,113.135669,122.4865869,132.0503592,141.7608649,151.5487327,161.3376809,171.2477986,181.2461974,191.3029713,201.393082,211.4991214,221.6151886,231.7522927,241.9458704,252.2662038,262.832658,273.9904766,286.0283722,299.3456203,314.4726929,332.0648325,352.7967414,376.9116174,404.4407512,,,,,,
Medium C box,39.534,44.761619,48.68516775,52.93666614,57.40595746,62.00937318,66.66697129,71.52964812,76.55836989,81.72207543,86.99759183,92.37153709,97.84395071,103.4339452,109.187986,115.1916912,121.5862221,128.7635759,137.0489399,146.9000364,158.9294615,173.8976397,192.5903863,215.2880621,242.045161,,,,,,
Fast C box,6.1865,7.028560407,7.259788542,7.989980176,8.787806522,9.595833129,10.39191094,11.29060206,12.23236143,13.20275342,14.19828501,15.2208963,16.27856123,17.38802442,18.57921406,19.90171418,21.43394514,23.41567285,25.98203724,29.36586823,33.89630635,39.9883762,48.05736197,58.14445247,70.25163506,,,,,,
Temp Box 1,0.1477,0.16507553,0.183358675,0.202474322,0.22239261,0.243071168,0.264457536,0.286517544,0.309218402,0.332523776,0.356395478,0.38079507,0.405685724,0.431034531,0.456815484,0.483013388,0.509629019,0.536567618,0.563897803,0.591727583,0.620213011,0.649563209,0.680031897,0.711866316,0.74528794,,,,,,
Temp Box 2,1.099454,1.2598033,1.365015682,1.451518167,1.531975045,1.609491906,1.684474732,1.757830061,1.82985368,1.900438249,1.969432542,2.036744179,2.102382881,2.166495768,2.229410485,2.291693336,2.354227213,2.412894283,2.473883508,2.540877184,2.617258386,2.706598575,2.812187666,2.934935414,3.074165026,,,,,,
Alpha,0.447153591,0.51185955,0.575012493,0.631697822,0.691279971,0.754596604,0.82182547,0.892167219,0.966913627,1.046251783,1.130336597,1.219327543,1.313403741,1.412778719,1.517723168,1.628601752,1.74593165,1.865040078,1.991366893,2.127626131,2.276921883,2.443718605,2.635488579,2.867855774,3.153434451,,,,,,
IFR,43.95913652,45.25690244,46.40684579,47.36083271,48.29724984,49.22857703,50.15496955,51.06373376,51.96931333,52.87017635,53.7643293,54.64988561,55.52526329,56.38930897,57.2414265,58.08173756,58.91129526,59.69773089,60.47744323,61.26290119,62.06518711,62.89842529,63.78514584,64.77244452,65.87657964,,,,,,
cacc,334.9871986,364.3306373,397.7824521,424.8396839,452.1215029,479.6132542,507.2456135,534.1592623,561.0567428,587.888922,614.5924002,641.0965601,667.3240818,693.1892249,718.5944914,743.4254764,767.5438975,790.1695831,811.8465301,832.4001231,851.6378286,869.4742872,886.3184926,904.3955425,924.6609495,,,,,,
ccatot,633.5,692.0668305,750.6141957,803.9712304,858.0852392,912.6604342,967.3715573,1021.861579,1076.667886,1131.635409,1186.623598,1241.515315,1296.229225,1350.737124,1405.088129,1459.442364,1514.117663,1569.653377,1627.626201,1689.341864,1756.598001,1831.778885,1917.825688,2017.759829,2132.647273,,,,,,
Share of output net zero emissions,0.109061732,0.095430263,0.083747326,0.073701141,0.065034726,0.057535467,0.051026818,0.047449565,0.044223235,0.041305879,0.038661304,0.036258188,0.034069354,0.032071148,0.030242935,0.028566662,0.027026495,0.02586233,0.024786978,0.023791972,0.022869789,0.022013735,0.021217841,0.020476773,0.019785751,,,,,,
Growth p.c. cons (log),0,0.020822346,0.020183142,0.019813321,0.019501196,0.019223137,0.018972354,0.018736516,0.018512655,0.018300739,0.018100991,0.017913833,0.017740109,0.017581519,0.017441529,0.01732728,0.017253652,0.017260217,0.017383937,0.017752123,0.018643632,0.020685037,0.025429688,0.03767747,-0.012021993,,,,,,
Change interest rate,0,0.045555579,-0.001058647,-0.000802886,-0.000748227,-0.000716018,-0.000690258,-0.000676214,-0.00066499,-0.000653794,-0.00064239,-0.000630582,-0.000617973,-0.000603749,-0.000586234,-0.000561934,-0.000523497,-0.000447469,-0.000336325,-0.000104238,0.000392765,0.001485012,0.004052941,0.011180761,-0.047669277,,,,,,
Precautionary effect,0,-0.000225625,-0.00045125,-0.000676875,-0.0009025,-0.001128125,-0.00135375,-0.001579375,-0.001805,-0.002030625,-0.00225625,-0.002481875,-0.0027075,-0.002933125,-0.00315875,-0.003384375,-0.00361,-0.003835625,-0.00406125,-0.004286875,-0.0045125,-0.004738125,-0.00496375,-0.005189375,-0.005415,,,,,,
Long interest rate(%),0,0.045555579,0.045026255,0.044582185,0.044173094,0.043784435,0.043410286,0.043046435,0.042690423,0.042340881,0.041997009,0.041658333,0.041324605,0.040995778,0.040672052,0.040354027,0.040043037,0.039742313,0.039456317,0.03919494,0.038979339,0.038854986,0.038926163,0.03947727,0.037996232,,,,,,
RR1,1,0.878095431,0.771051586,0.677056875,0.594520548,0.522045777,0.458406011,0.402524224,0.353454682,0.310366941,0.272531793,0.239308922,0.210136071,0.184519524,0.162025751,0.142274072,0.124930212,0.109700649,0.096327638,0.084584859,0.074273578,0.06521929,0.05726876,0.050287437,0.044157168,,,,,,
RR,1,0.879086703,0.774539607,0.683968485,0.605354011,0.536987236,0.477419373,0.425420079,0.379942725,0.340095448,0.305116978,0.274356424,0.247256335,0.2233385,0.202191999,0.183463163,0.1668471,0.152080543,0.138935808,0.127215669,0.116749018,0.107387174,0.099000749,0.091476969,0.084717398,,,,,,
Variance pc cons,0,0.0005,0.001,0.0015,0.002,0.0025,0.003,0.0035,0.004,0.0045,0.005,0.0055,0.006,0.0065,0.007,0.0075,0.008,0.0085,0.009,0.0095,0.01,0.0105,0.011,0.0115,0.012,,,,,,
Growth TFP,0.013655768,0.013550197,0.013445469,0.013341579,0.013238517,0.013136279,0.013034856,0.012934242,0.012834429,0.012735411,0.012637182,0.012539735,0.012443062,0.012347158,0.012252016,0.01215763,0.012063993,0.011971099,0.011878941,0.011787515,0.011696812,0.011606828,0.011517557,0.011428992,0,,,,,,
